San Bernardino,20057
Inyo,10181
Kern,8132
Riverside,7206
Siskiyou,6278
Fresno,5958
Tulare,4824
Lassen,4541
San Diego,4207
Imperial,4177
Los Angeles,4058
Modoc,3918
Shasta,3775
Humboldt,3568
Mendocino,3506
Monterey,3381
San Luis Obispo,3299
Trinity,3179
Mono,3049
Tehama,2950
Santa Barbara,2735
Plumas,2553
Tuolumne,2221
Madera,2137
Merced,1935
Ventura,1843
El Dorado,1708
Butte,1636
Sonoma,1576
Stanislaus,1495
Mariposa,1449
Placer,1407
San Joaquin,1391
Kings,1389
San Benito,1389
Glenn,1314
Santa Clara,1290
Lake,1256
Colusa,1151
Calaveras,1020
Yolo,1015
Del Norte,1006
Sacramento,965
Nevada,958
Sierra,953
Solano,822
Orange,791
Napa,748
Alameda,739
Alpine,738
Contra Costa,716
Yuba,632
Sutter,602
Amador,595
Marin,520
San Mateo,448
Santa Cruz,445
San Francisco,47
